IDENTIFIER	HIERARCHIE	TITEL
ID-2047	" Klagen / Beschwerden n.Nr.
 - Klagen / Dienstbeschwerden
 - Dienstreglement
 - Allgemeines
 - Wehrpflicht, Personelles der Armee, Militärstrafwesen
 - Generalsekretariat des eidgenössischen Militärdepartements: Zentrale Ablage (1992-1997)"	<n>Riwig, Hidiv</n> (Waldkirch)
ID-247	"Schadenfälle,  ""A-Z""
 - Allgemeines
 - Rekurskommission der  Militärverwaltung (Rekurskommission des  Departementes für Verteidigung, Bevölkerungsschutz und Sport; Reko VBS)
 - Militärverwaltungsverfahren
 - Rekurse
 - Rekurskommission VBS: Zentrale Ablage (1998-2006)"	<n>Egumiv, Ragun</n>, vertreten durch <j>Cudale, AG</j>, 8008 Zürich
ID-1202	"Stipendiendienst - Service des bourses
 - Ungarn - Hongrie
 - Operationelle Tätigkeiten im Ausland
 - Hilfswerk der evangelischen Kirchen der Schweiz: Zentrale Ablage (1946-)"	<n>WIFE, Yiem</n> (*<d>01.05.1986</d>), théologie de Zurich
ID-2498	" des Beschwerdedienstes im  1995
 -  des Beschwerdedienstes 1990 - 1999
 -  des Beschwerdedienstes
 - Beschwerdedienst des eidgenössischen  und Polizeidepartements: Beschwerdefälle (1959-2007)"	Dep. De La Prev.Canton De Vaud Sociale Et Des Assurances
ID-2753	"Angehörige der Armee: Personaldossiers
 - Allgemeine Grundausbildung
 - Grundausbildung
 - Ausbildung
 - Bundesamt für Logistiktruppen: zentrale Ablage (1996-2003)"	<n>Borisa, Ifuw</n>, <d>07.06.1992</d>
ID-97	"   |   Cas particuliers
 - Fürsorgerische Unterstützungen   |   Assistance et secours à des particuliers
 - Fürsorge und Unterstützung   |   Assistance et Prévoyance
 - Sozialversicherung, Fürsorge und Stipendien   |   Sécurité sociale, Assistance et Prévoyance, Bourses d'études et d'apprentissage
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Santo Domingo: Zentrale Ablage (1966-)"	<n>Udu-Nunidibo, Ragun</n>, <d>04.06.1982</d>, Massagno TI, A57621
ID-2443	"Allgemeine Personalfragen; Personaldossiers
 - Organisation
 - Allgemeine Verwaltung
 - Direktion
 -  Steuerverwaltung: Direktion (1918-)"	<n>Cifad, Uviwo</n> <d>12.01.2009</d>
ID-996	"1975 erstellte Strafakten
 - 1970-1979 erstellte Strafakten
 - Oberauditor: Strafakten  (1895-1979)"	<n>M, Inare</n> <d>07.09.2011</d>, insoumission intentionnelle et insoumission par négligence
ID-830	"Dossier N 71000 - 71999
 - Niederlassungsangelegenheiten von Ausländern, Aus- und Wegweisungen, Ausweisschriften für Flüchtlinge, Internierungen
 - Polizeiabteilung: Personenregistratur (1901-1979)"	<n>Cide Epomor</n> . <d>06.10.1967</d>
ID-2763	"Divisionsgericht 1
 -  Territorialgericht 3 A, Dienst- Offiziere der Militärjustiz, nach Anfall
 - Oberauditorat:  (1992- 2003)"	<n>Apeta, Fatof</n>, <d>26.11.2004</d>; SVG-Delikt ohne Unfall : Inobservation des prescriptions de service et conduite d'un véh
ID-2811	"  K 140000 - 140999
 -   nach Laufnummer
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>ELAV, Ivatu</n>, <d>26.03.2018</d>
ID-1216	"
 - Bundesanwaltschaft: Rechtsdienst (1931-2003)"	<n>Opedu Daso</n>; Fälschung eines Halbpreisabonnements und Betrug
ID-1640	"Löschdaten (Sampling)
 - Bundesamt für Migration: Automatisiertes Personendossier-, Informations- und Dokumentationssystem ( (1998-2006)"	<n>Orohud Rotut</n> <d>17.03.1970</d>
ID-1127	"Personaldossiers
 - Personalangelegenheiten
 - Verwaltung
 - Bundesamt für Wohnungswesen: Zentrale Ablage (1995-2005)"	Personaldossier: <n>WOFÂHOD, Waecu</n> . <d>15.10.1980</d> (Stellvertretender Direktor)
ID-1079	"Allgemeines
 - Revisionsstellen
 -  Bankenkommission: Banken und Sparkassen (1979-1996)"	Spezialdossier: Vordrucke für Prüfungshandlungen bei Banken
ID-1207	"Rechtsberatungen Departementschef  (ohne Beschaffungen)
 - Rechtsberatungen für das 
 - Rechtsdienstleistungen
 - Generalsekretariat des  Finanzdepartements: Zentrale Ablage (2010-)"	Amtsgeheimnisverletzung in Beschaffungsverfahren.
ID-284	"Allgemeines   |   Généralités
 - Wirtschaft des    |    de l' de résidence
 - Wirtschaft   |   
 - Wirtschaft (einschliesslich Finanzen, Verkehr und Tourismus)   |    (y compris Finance, Communications et Tourisme)
 - Schweizerische Vertretung, Lissabon: Zentrale Ablage (1966-)"	<n>TEROVEVI, Dabims</n>/Orselina-Locarno, ennuis avec firme <j>Iyum Medizintechnik, Sàrl</j> Porto
ID-2447	"  K 342000 - 342999
 -   nach Laufnummer
 - Bundesamt für Ausländerfragen: Personenregistratur (1979-2003)"	<n>PIFENI, Ador</n> . <d>16.06.1982</d>
ID-1468	"Botschaftspersonal
 - Personal der ausländischen Vertretungen
 - Protokoll
 - Allgemeine aussenpolitische Fragen
 -  Departement für auswärtige Angelegenheiten: Zentrale Ablage des   (1997-)"	<n>OLASIB, Opedu</n>, <d>1980</d>, Membre du personnel diplomatique, Turquie
ID-1242	"Immatrikulationsdossiers   |   Dossiers d'immatriculation
 - Immatrikulation   |   Immatriculation
 - Immatrikulation, Passwesen, Militärangelegenheiten   |   Immatriculation, Passeport, Affaires militaires
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Asunción: Zentrale Ablage (1966-)"	<n>Borisa, Ifuw</n>, <d>21.04.1961</d> - Adoption
ID-1716	"   |   Cas particuliers
 - Fürsorgerische Unterstützungen   |   Assistance et secours à des particuliers
 - Fürsorge und Unterstützung   |   Assistance et Prévoyance
 - Sozialversicherung, Fürsorge und Stipendien   |   Sécurité sociale, Assistance et Prévoyance, Bourses d'études et d'apprentissage
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Kairo: Zentrale Ablage (1966-)"	Fürsorge - <n>Opedu Daso</n>
ID-2771	"  K 242000 - 242999
 -   nach Laufnummer
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>Eyaliwih, E.</n> . <d>03.10.1972</d>
ID-45	"Rekurse und Beschwerden
 - Gesuche um Aufnahme von Medikamenten in die Spezialitätenliste, Wiedererwägungsgesuche, Preiserhöhungsgesuche und Rekurse
 - Auswahl von Arzneimitteln für die Krankenversicherung
 - Krankenversicherung
 - Bundesamt für Sozialversicherung: Zentrale Ablage (1930-2006)"	<j>Gurétoh, AG</j>: DERMOVATE (13371)
ID-803	"[Personaldossiers]
 - [Dienstverhältnis, Personalwesen. (früher: Das Dienstverhältnis der Bundesbeamten: Personaldossiers)]
 - Verwaltung und Dienstverhältnis der Bundesbeamten
 - Bundesamt für Polizeiwesen: Zentrale Ablage (1979-1989)"	<n>Iwuveru Yey, Yevèr</n>, <d>17.10.2005</d>
ID-399	"Immatrikulationsdossiers
 - Immatrikulation
 - Immatrikulation, Passwesen, Militärangelegenheiten
 - Konsularisches
 - Schweizerische Vertretung, Helsinki: Zentrale Ablage (1966-)"	HEIMBERG - <n>Adcop Nubipogun</n>, <d>01.09.1966</d>, Oberwil i.S.
ID-961	"Ordentliche Fälle
 - Grosse und bedeutende Fälle
 - Dossiereinsicht (DOS)
 - Sonderbeauftragter für Staatsschutzakten: Zentrale Ablage (1991-1996)"	<n>Oyuyodupu, Bomus</n>, 005146, 1 Teil, Band 1
ID-2160	"Asile
 -  et séjour en Suisse
 -  Séjour, Profession
 - Konsularisches
 - Schweizerische Vertretung, Mailand: Zentrale Ablage (1966 - )"	Asile - <n>Obàcowub, Uuhudi</n>
ID-85	"   |   Cas particuliers
 - Fürsorgerische Unterstützungen   |   Assistance et secours à des particuliers
 - Fürsorge und Unterstützung   |   Assistance et Prévoyance
 - Sozialversicherung, Fürsorge und Stipendien   |   Sécurité sociale, Assistance et Prévoyance, Bourses d'études et d'apprentissage
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Atlanta: Zentrale Ablage (1956-)"	Unterstützung <n>PINIPEYÜ, Egälo</n>, <d>30.10.1976</d>, von Sennwald SG/Erbschaft/ Band XI
ID-729	"   |   Cas particuliers
 -  (Testamente in 163.2)   |   Successions
 - Bürgerrechts- und Zivilrechtsangelegenheiten   |   Affaires de droit de cité et de droit civil
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Chicago: Zentrale Ablage (1966-)"	<n>Tehil, Penor</n>
ID-1240	"1968 erstellte Strafakten
 - 1960-1969 erstellte Strafakten
 - Oberauditor: Strafakten  (1895-1979)"	<n>YIPA, J.</n> <d>29.01.1968</d>, inconnu
ID-1391	"Revisionsberichte
 -  Bankenkommission: Banken und Sparkassen (1935-1978)"	<j>Mugéo , Conseils financiers</j>, Matzendorf: Revisionsberichte
ID-1899	"La souveraineté suisse et celle des autres états
 - Relations internationales générales
 - Schweizerische Vertretung, Brüssel: Zentrale Ablage (1849-1965)"	Adoption. <n>Udu-Nunidibo, Ragun</n>)
ID-1662	"  K 119000 - 119999
 -   nach Laufnummer
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>OLASIB, Opedu</n>, <d>20.09.2015</d>
ID-1848	"Cab - Cas
 -  und Verlust des Schweizerbürgerrechts
 - Polizeiabteilung: Personenregistratur (1901-1979)"	<n>HENIAGUFI, Ihapa</n>, <d>12.08.1972</d>
ID-86	"Art. 251-257 11.Titel, Urkundenfälschung
 - Schweizerisches Strafgesetzbuch
 - 
 - Bundesanwaltschaft: Rechtsdienst (1931-2003)"	<n>Ulud, Igete</n> <d>15.03.1994</d>: FäLSCHUNG EINER TAGERKARTE ZUM <j>Presseservice Sucuta, GmbH</j>-JUGENDABONNEMENT.
ID-1089	" Nr. 15'000 - 19'999
 - Zulassungsverfahren
 - Zivildienstpflichtige
 - Zivildienst
 - Vollzugsstelle für den Zivildienst: Zentrale Ablage (1996-)"	<n>Avayaneb Fanac Nowide</n>
ID-2354	"Ordipro Nr. 110'000 - 119'999
 - Ständige Mission der Schweiz beim Büro der Vereinten Nationen und den anderen internationalen Organisationen, Genf
 - Informationssystem Ordipro (Betreuung von in der Schweiz akkreditierten Personen)"	<n>UHÉVA, Luvet</n>, <d>26.09.1973</d>, (Ordipro Nr. <a>510-53.992</a>)
ID-1867	"Kontrollberichte, Notizen - W
 - Kontrollberichte, Notizen
 - Mehrwertsteuer (MWST)
 -  Steuerverwaltung: Mehrwertsteuer (1994-)"	4876) <j>Restauration Abebeb, Sàrl</j>, ZOFINGEN; Inspektor: <n>OUSUPEY, Ebih</n>; Kontrollberichtnummer 56
ID-1419	" Benutzer T
 -  Benützer (LfNr) / Standort der Akten: B 51
 - Benutzung 
 - Vermittlung, Benutzung, Auswertung
 - Schweizerisches Bundesarchiv: Zentrale Ablage (1996-2007)"	<j>Iguse</j>
ID-2798	"Rechtshilfegesuche Laufnummern 85000 - 89999
 - Rechtshilfegesuche (nach Laufnummer)
 - Bundesamt für  Fachbereich Internationale Rechtshilfe, Personendossiers (IRH)"	<n>Aciroy-Yop, Wimiwu</n>, <d>09.03.1992</d>
ID-2560	"Personelles Festungswachtkorps, Zivilpersonal, Hilfskräfte
 - Personelles, Personaldossiers, Gesetze, Verordnungen, Vorschriften
 - Personalangelegenheiten
 - Kommando Festungswachtkorps: Personelles (1996-2003)"	<n>Mapaw Itage Cufo</n>, <d>22.12.2017</d>
ID-1246	"  K 170000 - 170999
 -   nach Laufnummer
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>Menudal, Yewuyo</n> . <d>03.10.1960</d>
ID-564	"Behandlung von Dienstbeschwerden 2. Instanz
 - Dienstbeschwerden
 - Rechtsanwendung
 - Recht und Compliance
 - Führung der Querschnittaufgaben
 - Gruppe Verteidigung: Zentrale Ablage (2004-)"	Dienstbeschwerden Sdt. <n>Dehamet, Ivatu</n>
ID-82	"Dokumentation (DK)
 - Vorgangskategorien
 - Bundesamt für Polizei: Zentrale Ablage  (2000-2014 )"	Handakten von <n>OBAFEB, Abigo</n> Bundesgesetz Staatsschutzverordnung Arbeiten ab <wd>10.10.1990</wd> Mitbericht 10/90 Einleitung der Verordnung
ID-2569	"Dienstetats der Feldpostoffiziere
 - Post-, Telefon- und Telegrafenbetriebe: Feldpost (1961-1997)"	<n>WUW, Usoma</n>, <d>06.10.2001</d>
ID-1687	"VG-Verfahren
 - Haftungsansprüche gemäss Verantwortlichkeitsgesetz (VG)
 - Staatshaftung
 - Rechtsdienstleistungen
 - Generalsekretariat des  Finanzdepartements: Zentrale Ablage (2010-)"	<n>ULIVOHE, Bufe</n> Poste Restante, 8021 Zürich Verwaltungsrechtliche Klage gegen EFD.
ID-1403	"Kategorie 3A-K
 - Kategorie 3A
 - Kategorie 3
 - Claims Resolution Tribunal: Bankunterlagen und Vermögensaufstellungen diverser Schweizer Banken"	<n>Utumägotu Döbif Yula</n>, s.d. | <j>Dawos Biuf GmbH</j>)
ID-1966	"  K 219000 - 219999
 -   nach Laufnummer
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>Gemuy Owucecüd, Egod</n> . <d>14.01.2006</d>
ID-2042	"Namenkartei
 - Polizeiabteilung: Personenregistratur (1901-1979)"	<n>HENIAGUFI, Ihapa</n>
ID-744	"Dossier N 65000 - 65999
 - Niederlassungsangelegenheiten von Ausländern, Aus- und Wegweisungen, Ausweisschriften für Flüchtlinge, Internierungen
 - Polizeiabteilung: Personenregistratur (1901-1979)"	<n>Eyaliwih, E.</n> . <d>11.04.1988</d>
ID-187	"Banken, Sparkassen & Holdings (inkl. Banken mit 
 - Banken
 - 
 -  Bankenkommission: Zentrale Ablage (2002-2004)"	<j>Presseservice Iigum, AG</j> Geneve 472-101-B2
ID-1070	"Dossier N 101000 - 101999
 - Asyldossiers
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>APÄDÜ, Atiwi</n> . <d>02.05.1997</d>
ID-2361	"Luftfahrtstrafsachen
 - Nebenstrafrecht (Luftfahrt)
 - Bundesstrafrecht
 - Bundesanwaltschaft: Rechtsdienst (1931-2003)"	<n>WOFÂHOD, Waecu</n>, <d>05.01.1963</d>
ID-606	"Kategorie 3A-S
 - Kategorie 3A
 - Kategorie 3
 - Claims Resolution Tribunal: Bankunterlagen und Vermögensaufstellungen diverser Schweizer Banken"	<n>HEHI, Tuwufo</n>, s.d. | <j>Sire, Sàrl</j>)
ID-1016	"Versichertendossiers Familienname A
 - Versichertendossiers A-Z
 - Bundesamt für Militärversicherung:  Militärversicherung und Renten (1979-2005)"	<n>VI, Soyite</n>, <a>771.42.278</a>
ID-154	"Strafvollzug
 - 
 - Bundesanwaltschaft: Rechtsdienst (1931-2003)"	<n>Nuweniy-Tabof, F.</n> : UMWANDLUNG DER FISKALBUSSE IN HAFT ( WH. 10 VSTRR )
ID-823	"Dossier P 035000-035999
 - Ausweisschriften für Ausländer, Passangelegenheiten, Nansenpässe, Flüchtlingsunterstützung, Unterstützung gemäss Fürsorgeabkommen mit Frankreich
 - Polizeiabteilung: Personenregistratur (1901-1979)"	<n>Véweluh Velel Uhono</n>, <d>22.09.1981</d>
ID-200	"Milchprodukte
 - Kennzeichnung von AOC / IGP
 - Kennzeichnung von Agrarprodukten
 - Landwirtschaftspolitik
 - Landwirtschaftspolitik, Recht, Aussenhandel, int. Organisationen
 - Bundesamt für Landwirtschaft: Zentrale Ablage (1994-2004)"	AOC/IGP, Milchprodukte: Tête de Moine Fromage de Bellelay / Gesuchsdossier / Kommission GUB/GGA / Konsultation / Verfügungen / Dossier intern / Vorakten (SHAB <wd>23.1.2001</wd>, Register <wd>8.5.2001</wd>)
ID-877	"Botschaftspersonal
 - Personal der ausländischen Vertretungen
 - Protokoll
 - Allgemeine aussenpolitische Fragen
 - Staatssekretariat des Departements für auswärtige Angelegenheiten: Zentrale Ablage (1997-)"	<n>Alutipi, Perel</n>, <d>2022</d>
ID-556	"Pilotendossier 'A-Z'
 - Schweizerische Luftverkehrsschule (SLS)
 - Schulen
 - Luftfahrtbetriebe
 - Bundesamt für Zivilluftfahrt: Zentrale Ablage (1979- 2004)"	<n>Odasaat, Hona</n>, <d>11.08.1983</d>
ID-2509	"Divisionsgericht 6
 -  Territorialgericht 3 A, Dienst- Offiziere der Militärjustiz, nach Anfall
 - Oberauditorat:  (1992- 2003)"	<n>Loyura-Iimebu, Sehev</n>, Matr.-Nr. <a>689.58.545</a>, geb. <d>30 janvier 1988</d>, Fall Nr. 9
ID-1376	"1965 erstellte Strafakten
 - 1960-1969 erstellte Strafakten
 - Oberauditor: Strafakten  (1895-1979)"	<n>Agodob Ovomew Ifuw</n> <d>10.11.2003</d>, Unbekannter Tatbestand
ID-634	"Ordipro Nr. 200'000 - 209'999
 - Daten der Sektion Privilegien und Immunitäten, Bern und der Ständigen Mission der Schweiz beim Büro der Vereinten Nationen und den anderen internationalen Organisationen, Genf
 - Informationssystem Ordipro (Betreuung von in der Schweiz akkreditierten Personen)"	<n>Tehil, Penor</n>, <d>08.09.2013</d>, (Ordipro Nr. <a>434.27.854</a>)
ID-39	"Immatrikulationsdossiers   |   Dossiers d'immatriculation
 - Immatrikulation   |   Immatriculation
 - Immatrikulation, Passwesen, Militärangelegenheiten   |   Immatriculation, Passeport, Affaires militaires
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Melbourne: Zentrale Ablage (1966- )"	<n>OBUM, Mogun</n>) - Zahlung Alimente / Nachforschung
ID-1566	"Tribunal militaire 2
 - Oberauditorat:  (2004- 2017)"	<n>VI, Soyite</n>, <d>13.07.2016</d>; Nichteinrücken: Défaut au SIF <wd>2003</wd> (<wd> 26.05.-06.06.</wd>) avec la bttr eg L DCA II/15 à D'Aire-la-Ville et au SIF <wd>2004</wd> (<wd>09.02- 27.02.</wd>) à Brigels, et défaut au SIF <wd>2005</wd> (<wd>17.10.-04.11.</wd>) avec la Bttr eg L DCA 1/1 (A) à Aigle, et défaut au SIF <wd>2006</wd> (<wd>12.06.-30.06</wd>)
ID-1932	"Personalakten des diplomatischen und konsularischen Personals ausländischer Vertretungen in der Schweiz
 -  und Schliessung fremder Gesandtschaften
 - Fremde Gesandtschaften
 - Gesandschaften, Konsulate und andere Institutionen
 - Auswärtige Politik
 - Politische Direktion: Zentrale Ablage (1973-1981)"	<n>LUVACUDOW, Fatof</n>
ID-2671	"Rekurse nach  und Laufnummer
 -  Zollrekurskommission: Zentrale Ablage (1926-2006)"	<n>Vitobihil-Apubeh, Idiva</n>
ID-1450	"Asile - Cas particuliers
 - Asyl   |   Asile
 - Niederlassung und Aufenthalt in der Schweiz   |    et séjour en Suisse
 - Niederlassung, Aufenthalt, Berufsausübung   |    Séjour, Profession
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Addis Abeba: Zentrale Ablage (1966- )"	<n>Op Ivatu Ebih</n>
ID-1721	"Versichertendossiers Familienname N
 - Versichertendossiers A-Z
 - Bundesamt für Militärversicherung:  Militärversicherung und Renten (1979-2005)"	<n>NE, Uuhudi</n>, <a>721.30.629</a>
ID-1212	"Rechtshilfegesuche Laufnummern 40000 - 44999
 - Rechtshilfegesuche (nach Laufnummer)
 - Bundesamt für  Fachbereich Internationale Rechtshilfe, Personendossiers (IRH)"	<j>Assurances Iwuyu</j>, weitere
ID-115	"Immatrikulationsdossiers   |   Dossiers d'immatriculation
 - Immatrikulation   |   Immatriculation
 - Immatrikulation, Passwesen, Militärangelegenheiten   |   Immatriculation, Passeport, Affaires militaires
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Wellington: Zentrale Ablage (1966- )"	<n>Oayéref, Etimo</n>, <d>20.04.2018</d>, de Dällikon ZH
ID-2169	"Strafverfolgung und Auslieferungen, nach 
 - Strafverfolgung und Auslieferung
 - Rechtsschutz für Leib und Leben
 - Schweizer und schweizerische Interessen im Ausland
 -  Departement für auswärtige Angelegenheiten: Zentrale Ablage des   (1997-)"	<n>Utumägotu Döbif Yula</n>, <d>27.10.2005</d>, Thayngen / SH
ID-489	"  K 266000 - 266999
 -   nach Laufnummer
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>Ogoidenob, Pewur</n> . <d>18.02.2013</d>
ID-1878	"Allgemeine   (A
 - Vorgangskategorien
 - Bundesamt für Polizei: Zentrale Ablage  (2000-2014 )"	<n>Pu, Tagi</n> <d>31.10.1979</d>
ID-2605	"Rechtshilfegesuche Laufnummern 25000 - 29999
 - Rechtshilfegesuche (nach Laufnummer)
 - Bundesamt für  Fachbereich Internationale Rechtshilfe, Personendossiers (IRH)"	<n>Reipago Awola Aiviy</n>
ID-262	"Ordipro Nr. 160'000 - 169'999
 - Daten der Sektion Privilegien und Immunitäten, Bern und der Ständigen Mission der Schweiz beim Büro der Vereinten Nationen und den anderen internationalen Organisationen, Genf
 - Informationssystem Ordipro (Betreuung von in der Schweiz akkreditierten Personen)"	<n>MIWERI, Yiheta</n>, <d>01.05.2012</d>, (Ordipro Nr. <a>35.64.552</a>)
ID-1976	"Immatrikulationsdossiers   |   Dossiers d'immatriculation
 - Immatrikulation   |   Immatriculation
 - Immatrikulation, Passwesen, Militärangelegenheiten   |   Immatriculation, Passeport, Affaires militaires
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Paris: Zentrale Ablage (1966-)"	Kontrollkarten  <n>DONURIRI, Wiwuh</n>
ID-1148	"
 - Bundesanwaltschaft: Rechtsdienst (1931-2003)"	<n>SIFOH, Yoru</n>; Gewalt und Drohung gegen Beamte und evt. Erschleichen einer Leistung, Widerhandlung gegen das Transportgesetz
ID-568	"Personenkartei der Personenregistratur der  Fremdenpolizei
 - Bundesamt für Ausländerfragen: Personenregistratur (1979-2003)"	<n>GPOHI, Ifehur</n>, <d>13.01.1993</d>, D
ID-1476	"Heimschaffungen, Deportationen, Rückwanderungen
 - Interventionen, Heimschaffungen, Nachforschungen
 - Fürsorgedienst, Schutz, Hilfe
 - Auswanderungswesen
 - Arbeitskraft und Auswanderung
 - Bundesamt für Industrie, Gewerbe und Arbeit: Arbeitskraft und Auswanderung (1942-1978)"	Heimschaffung: Mrs. <n>Orohud Rotut</n>, Folkestone
ID-456	"Land- und Sachschäden
 - Land- und Sachschäden, Unfälle, Allg.
 - Verwaltung der Armee, Verwaltungsreglement
 - Direktion der eidgenössischen Militärverwaltung: Zentrale Ablage (1959-1989)"	<j>Herob Dental, S.A.</j>
ID-544	" 35001-40000 - Rekursnummer 35001-40000
 - Beschwerdeakten,  - Dossiers de recours, cas particuliers
 -  Rekurskommission der Alters-, Hinterlassenen- und Invalidenversicherung für die im Ausland wohnenden Personen: Zentrale Ablage (1971-2006)"	<n>MIWERI, Yiheta</n>
ID-1030	" 2002
 - Verfahrensakten der Zweigstelle Lausanne (nach  geordnet) - Procédures pénales traitées par l'Antenne de Lausanne
 - Ressort  und Anklage -  et Accusation  (vorwiegend Wirtschaftskriminalität und Geldwäscherei)
 - Bundesanwaltschaft: Geschäftsdossiers und Verfahrensakten (1889-2008)"	Procédure <j>Dasu Fit</j> 4 - Cotes 1 à 3
ID-1086	"
 - Verhaftung, Strafverfolgung
 - Schutz von Leib und Leben
 - Wahrung schweizerischer Interessen
 - Schweizerische Vertretung, Kuala Lumpur: Zentrale Ablage (1966-)"	Généralités (Hartfall <n>Edenaw Ociwibe, Cigodi</n>, etc.)
ID-1594	" 2002
 - Verfahrensakten der Zweigstelle Lausanne (nach  geordnet) - Procédures pénales traitées par l'Antenne de Lausanne
 - Ressort  und Anklage -  et Accusation  (vorwiegend Wirtschaftskriminalität und Geldwäscherei)
 - Bundesanwaltschaft: Geschäftsdossiers und Verfahrensakten (1889-2008)"	Procédure <n>Wucireno Arutu, Atiwi</n> pour blanchiment d'argent et organisation criminelle - Annexe Rubrique 7 - Documents bancaires <j>Dr. Gucevo, AG</j> - Comptes clôturés
ID-492	"Dienst- A-Z: Familienname mit V
 - Dienst- A-Z
 - Mutationen / Dienst-
 - Beförderungen und Mutationen
 - Bewirtschaftung der Truppe
 - Untergruppe Personelles der Armee: Dienst- von Armeeangehörigen (1996-2003)"	<n>Elac, Q.</n>, Hauptmann, <d>17.10.2002</d>
ID-1839	"Rekurse (nach Laufnummern)
 -  Rekurskommission für Infrastruktur und Umwelt: Zentrale Ablage (2004-2006)"	<n>MOF, Hona</n>/<j>Assurances Iisüb, S.A.</j>
ID-1865	"Forderungen
 - Rechtsschutz in Bezug auf das  (Vermögenswerte)
 - Schweizer und schweizerische Interessen im Auslande
 - Auswärtige Politik
 - Politische Direktion: Zentrale Ablage (1982-2000)"	<j>Oari, Sàrl</j>, Thal
ID-1388	"Personelles  
 -   Union Force (
 -  und Missionen
 - Sicherstellung Friedensförderungseinsätze
 - Führung von Armeeinsätzen
 - Gruppe Verteidigung: Zentrale Ablage (2004-)"	<n>Wutunomon, Rovica</n>, <d>20.02.1971</d>, Vertreter der Luftwaffe für die Einrichtungsphase SWISSHOUSE
ID-1371	"Ordipro Nr. 240'000 - 249'999
 - Daten der Sektion Privilegien und Immunitäten, Bern und der Ständigen Mission der Schweiz beim Büro der Vereinten Nationen und den anderen internationalen Organisationen, Genf
 - Informationssystem Ordipro (Betreuung von in der Schweiz akkreditierten Personen)"	<n>Ulivohe, Laliv</n>, <d>03.03.2006</d>, (Ordipro Nr. <a>542.22.295</a>)
ID-2187	" 30001-35000 - Rekursnummer 30001-35000
 - Beschwerdeakten,  - Dossiers de recours, cas particuliers
 -  Rekurskommission der Alters-, Hinterlassenen- und Invalidenversicherung für die im Ausland wohnenden Personen: Zentrale Ablage (1971-2006)"	<n>GUHERUAV, Onuha</n>
ID-2397	"- Ausgetretene und verstorbene Aufräumer/Innen
 - Personaldossiers
 - Allgemeines
 - Direktion der eidgenössischen Bauten: Zentrale Ablage (1848-1995)"	<n>HEHI, Tuwufo</n>, <d>05.07.1988</d>
ID-471	"
 -  Schätzungskommission 4. Kreis: Zentrale Ablage"	Grundeigentümer, im Raum Spreitenbach/ Würenlos, gegen den Staat Aargau, betr. N 1 Spreitenbach/ Würenlos Teil 1
ID-1601	"Personaldossiers
 - Personaldienst
 - Organisation des Bundesamtes für Polizeiwesen (vorm.  Polizeiabteilung)
 - Organisation der Bundesverwaltung
 - Verwaltung und Dienstverhältnis der Bundesbeamten
 - Bundesamt für Polizeiwesen: Zentrale Ablage (1979-1989)"	<n>Agodob Ovomew Ifuw</n> (<d>11.06.1971</d>)
ID-420	"Verfahren abwickeln
 - Vollstreckung
 - Überwachung / Vollstreckung
 -  Bankenkommission: Zentrale Ablage (2004-2008)"	plainte de <n>Wucu Vuhüno Hidiv</n> concernant une attestation de retrait délivrée par la banque - Dossier de procédure - <j>Ogag, Sàrl</j>
ID-1258	"   |   Cas particuliers
 - Verhaftung, Strafverfolgung   |   Arrestation, poursuites pénales
 - Schutz von Leib und Leben   |   Protection de la personne et de la vie
 - Wahrung schweizerischer Interessen   |   Protection des intérêts suisses
 - Schweizerische Vertretung, Athen: Zentrale Ablage (1966- )"	<n>Nuweniy Wucireno, Nihep</n>, née le <d>1999</d>, originaire de Prangins VD CH-GR DN
ID-51	"   |   Cas particuliers
 - Hilfe an durchreisende Schweizer   |   Assistance à des Suisses de passage
 - Schutz von Leib und Leben   |   Protection de la personne et de la vie
 - Wahrung schweizerischer Interessen   |   Protection des intérêts suisses
 - Schweizerische Vertretung, Lissabon: Zentrale Ablage (1966-)"	<n>OBUM, Mogun</n>
ID-1764	"Vorabklärungen und Untersuchungen (Nach Laufnummern)
 - Marktbeherrschende Unternehmen
 - Wettbewerbskommission: Zentrale Ablage (1997- )"	Schweizer Spielmesse
